case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,5.175,0.0,-1.0253537852465493e-182,-1.0253537852465455e-182,3.1245663281038764e-169,-3.098027767103964e-163
base-broad,5.2,0.0,-6.399659329830594e-182,-6.39965932983057e-182,1.773299845294552e-168,-1.6079053889154245e-162
base-broad,5.2250000000000005,0.0,-3.911141832285667e-181,-3.9111418322856516e-181,9.9740732820091e-168,-8.273353562702713e-162
base-broad,5.25,0.0,-2.3439569971624317e-180,-2.3439569971624223e-180,5.560280107185254e-167,-4.220683868701425e-161
base-broad,5.275,0.0,-1.3789745484451862e-179,-1.3789745484451805e-179,3.0724851677745946e-166,-2.1350003790925595e-160
base-broad,5.3,0.0,-7.96990505816047e-179,-7.969905058160437e-179,1.6830100002478473e-165,-1.0709279230296592e-159
base-broad,5.325,0.0,-4.5275721325593165e-178,-4.527572132559297e-178,9.139483384011051e-165,-5.327242544607334e-159
base-broad,5.3500000000000005,0.0,-2.5288852249982014e-177,-2.5288852249981904e-177,4.920717533035209e-164,-2.628191238669323e-158
base-broad,5.375,0.0,-1.3889915585807827e-176,-1.3889915585807763e-176,2.6268808326325062e-163,-1.2860432899570909e-157
base-broad,5.4,0.0,-7.501576447771276e-176,-7.501576447771241e-176,1.3905618135175516e-162,-6.242086214565963e-157
base-broad,5.425,0.0,-3.982714746607181e-175,-3.982714746607162e-175,7.299793963347232e-162,-3.0054566445411804e-156
base-broad,5.45,0.0,-2.077659883554585e-174,-2.077659883554575e-174,3.800434186659488e-161,-1.4355828103491474e-155
base-broad,5.4750000000000005,0.0,-1.0641807853683209e-173,-1.0641807853683157e-173,1.9624094778171043e-160,-6.80319991714794e-155
base-broad,5.5,0.0,-5.345970848946643e-173,-5.345970848946616e-173,1.0051037900091111e-159,-3.198859218273479e-154
base-broad,5.525,0.0,-2.629805404217705e-172,-2.6298054042176915e-172,5.106551102644269e-159,-1.4924618265771646e-153
base-broad,5.55,0.0,-1.263923594426977e-171,-1.2639235944269703e-171,2.5737725357213974e-158,-6.909815422115022e-153
base-broad,5.575,0.0,-5.91525245344706e-171,-5.915252453447028e-171,1.2869692018048233e-157,-3.174777379552509e-152
base-broad,5.6000000000000005,0.0,-2.682199475414299e-170,-2.6821994754142837e-170,6.384855280116123e-157,-1.4476775636334502e-151
base-broad,5.625,0.0,-1.1689069127260664e-169,-1.1689069127260598e-169,3.143025310720161e-156,-6.551939606344958e-151
base-broad,5.65,0.0,-4.82859828344133e-169,-4.8285982834413016e-169,1.5352787213970509e-155,-2.943301623953631e-150
base-broad,5.675,0.0,-1.8405949756874748e-168,-1.8405949756874638e-168,7.442131648616297e-155,-1.312482428840875e-149
base-broad,5.7,0.0,-6.077297247217267e-168,-6.07729724721723e-168,3.58019011337954e-154,-5.8099542174642465e-149
base-broad,5.7250000000000005,0.0,-1.3878351403456014e-167,-1.3878351403455931e-167,1.709389145924351e-153,-2.5532814755395654e-148
base-broad,5.75,0.0,1.5364663048604015e-167,1.536466304860389e-167,8.10082097353893e-153,-1.11403129428726e-147
base-broad,5.775,0.0,5.0048453724551953e-166,5.0048453724551604e-166,3.8106331162499547e-152,-4.826078684480456e-147
base-broad,5.8,0.0,4.565118455983003e-165,4.565118455982971e-165,1.779392157072192e-151,-2.0759408776143654e-146
base-broad,5.825,0.0,3.260241272821202e-164,3.260241272821179e-164,8.24857098154869e-151,-8.867150339786922e-146
base-broad,5.8500000000000005,0.0,2.0805300129845303e-163,2.0805300129845152e-163,3.796155632510635e-150,-3.761198738716659e-145
base-broad,5.875,0.0,1.2413310573081928e-162,1.2413310573081837e-162,1.734574505827818e-149,-1.5844038979830008e-144
base-broad,5.9,0.0,7.071844642301499e-162,7.0718446423014455e-162,7.869563556321062e-149,-6.628677828434483e-144
base-broad,5.925,0.0,3.891548959904452e-161,3.891548959904422e-161,3.545208927199562e-148,-2.7544378720830084e-143
base-broad,5.95,0.0,2.083113662561452e-160,2.0831136625614356e-160,1.5859553830448279e-147,-1.1368612892305126e-142
base-broad,5.9750000000000005,0.0,1.0897100456138578e-159,1.089710045613849e-159,7.045668012713097e-147,-4.6609396061071414e-142
base-broad,6.0,0.0,5.588685706351862e-159,5.588685706351815e-159,3.108560293933881e-146,-1.898251492314026e-141
base-broad,6.025,0.0,2.816561512341084e-158,2.8165615123410602e-158,1.3621528865397026e-145,-7.68016927982739e-141
base-broad,6.05,0.0,1.3973265359929949e-157,1.3973265359929828e-157,5.9285036314614106e-145,-3.087072371425854e-140
base-broad,6.075,0.0,6.833317115507562e-157,6.833317115507501e-157,2.562948896054487e-144,-1.232831534952495e-139
base-broad,6.1000000000000005,0.0,3.297494142457311e-156,3.297494142457281e-156,1.1006090634346356e-143,-4.891738355392119e-139
base-broad,6.125,0.0,1.571556835542342e-155,1.5715568355423273e-155,4.695122035986289e-143,-1.9286199401559885e-138
base-broad,6.15,0.0,7.40249550388175e-155,7.402495503881679e-155,1.989772622695737e-142,-7.555707810668041e-138
base-broad,6.175,0.0,3.448148735023094e-154,3.4481487350230605e-154,8.37769636514427e-142,-2.94150497604685e-137
