waveform,time,a,a_dot
carrier,13.0,-1.952161735831249e-05,-9.206062334962477e-06
carrier,13.025,-1.9752965719670698e-05,-9.30095443128487e-06
carrier,13.05,-1.9986708573501534e-05,-9.400057483971083e-06
carrier,13.075000000000001,-2.0222988673121298e-05,-9.50137631467459e-06
carrier,13.1,-2.046172883439069e-05,-9.59806630191497e-06
carrier,13.125,-2.0702961822579246e-05,-9.701632490010938e-06
carrier,13.15,-2.0946777061903595e-05,-9.802210833039006e-06
carrier,13.175,-2.119307475460682e-05,-9.903010411324424e-06
carrier,13.200000000000001,-2.144197527484867e-05,-1.0008701246397638e-05
carrier,13.225,-2.1693459041413565e-05,-1.0109523356252444e-05
carrier,13.25,-2.1947499723684405e-05,-1.0215183191328783e-05
carrier,13.275,-2.220421578259017e-05,-1.0320762149681778e-05
carrier,13.3,-2.246351496058411e-05,-1.0424211911889096e-05
carrier,13.325000000000001,-2.272548245917799e-05,-1.0533281350017659e-05
carrier,13.35,-2.2990136463288957e-05,-1.0638293274410159e-05
carrier,13.375,-2.3257426714495947e-05,-1.0746374160069091e-05
carrier,13.4,-2.352747081750899e-05,-1.0856012023159304e-05
carrier,13.425,-2.3800193366775665e-05,-1.0962569078607394e-05
carrier,13.450000000000001,-2.4075656000308466e-05,-1.1074689315224833e-05
carrier,13.475,-2.435389093029779e-05,-1.11833544080768e-05
carrier,13.5,-2.4634845078141195e-05,-1.1294285068925768e-05
carrier,13.525,-2.491862590188161e-05,-1.1407193184516338e-05
carrier,13.55,-2.5205168770404244e-05,-1.1516916170576747e-05
carrier,13.575000000000001,-2.5494527267895147e-05,-1.1631968174305392e-05
carrier,13.6,-2.578673010688819e-05,-1.1743632380406047e-05
carrier,13.625,-2.6081732134103322e-05,-1.1857678082963145e-05
carrier,13.65,-2.6379629250063767e-05,-1.1973167029004531e-05
carrier,13.675,-2.668035941782933e-05,-1.208597542946995e-05
carrier,13.700000000000001,-2.6983980593905777e-05,-1.2203729593522275e-05
carrier,13.725,-2.7290505090586795e-05,-1.2317826269319911e-05
carrier,13.75,-2.7599903944862293e-05,-1.2435038142150463e-05
carrier,13.775,-2.7912258321924842e-05,-1.255241142098986e-05
carrier,13.8,-2.8227505779034475e-05,-1.26682504206637e-05
carrier,13.825000000000001,-2.85457150964532e-05,-1.2788190482939587e-05
carrier,13.85,-2.886687263274979e-05,-1.2904357985598724e-05
carrier,13.875,-2.919097528863696e-05,-1.3024496270811933e-05
carrier,13.9,-2.9518079722416027e-05,-1.3143069208394999e-05
carrier,13.925,-2.984813000583397e-05,-1.3261913317209898e-05
carrier,13.950000000000001,-3.01812018505426e-05,-1.3383179370550103e-05
carrier,13.975,-3.0517253448431394e-05,-1.3501356693341305e-05
carrier,14.0,-3.085631529013429e-05,-1.3623721640473855e-05
carrier,14.025,-3.11984050763165e-05,-1.374302434685792e-05
carrier,14.05,-3.154349092279487e-05,-1.386465176124048e-05
carrier,14.075000000000001,-3.18916369343206e-05,-1.3986201310805909e-05
carrier,14.1,-3.224278642035418e-05,-1.4106568287963818e-05
carrier,14.125,-3.2596998156086896e-05,-1.4229883437868555e-05
carrier,14.15,-3.295424365142551e-05,-1.4349938523724796e-05
carrier,14.175,-3.33145333947769e-05,-1.4473497967788054e-05
carrier,14.200000000000001,-3.3677891445811946e-05,-1.459459055463018e-05
carrier,14.225,-3.404427758955655e-05,-1.4717109960083682e-05
carrier,14.25,-3.44137497950905e-05,-1.4839812880568473e-05
carrier,14.275,-3.478625137045441e-05,-1.4961079487209085e-05
carrier,14.3,-3.516183176546939e-05,-1.5084830309926498e-05
carrier,14.325000000000001,-3.554045962698175e-05,-1.5205573111232636e-05
carrier,14.35,-3.592214203919325e-05,-1.532919828571391e-05
carrier,14.375,-3.6306892970084765e-05,-1.5450330926671804e-05
carrier,14.4,-3.669467340439253e-05,-1.557285094347528e-05
carrier,14.425,-3.708553013153048e-05,-1.5694781090311475e-05
carrier,14.450000000000001,-3.747940336817635e-05,-1.5815875030855385e-05
carrier,14.475,-3.787633927366783e-05,-1.593831017865205e-05
carrier,14.5,-3.827629249785298e-05,-1.605825650962786e-05
carrier,14.525,-3.867927720939161e-05,-1.618045339957769e-05
carrier,14.55,-3.9085284805596264e-05,-1.6299773441084698e-05
carrier,14.575000000000001,-3.94942868977973e-05,-1.6420920267902422e-05
carrier,14.6,-3.9906309228172555e-05,-1.654003079444218e-05
carrier,14.625,-4.03212945750651e-05,-1.6659525780033756e-05
carrier,14.65,-4.0739280673894544e-05,-1.677853728511715e-05
carrier,14.675,-4.116020795167927e-05,-1.6896120482185242e-05
carrier,14.700000000000001,-4.1584099562505335e-05,-1.701476349022843e-05
carrier,14.725,-4.201091600697534e-05,-1.7130538091447885e-05
carrier,14.75,-4.2440649958557055e-05,-1.724819687233359e-05
carrier,14.775,-4.287328970274221e-05,-1.7362530855432723e-05
carrier,14.8,-4.330879738486651e-05,-1.7478413953456797e-05
carrier,14.825000000000001,-4.374718238908826e-05,-1.75917001016387e-05
