grid,r,phi,Z,mode
fine,0.7000000000000001,0.742579720232605,1.1102849281801468,0.11166193272534244
fine,0.75,0.7425741884246069,1.1102832850628928,0.11155357507761408
fine,0.8,0.7425682122529123,1.1102815099696972,0.11143781546019645
fine,0.8500000000000001,0.7425617785844694,1.1102795990029062,0.1113146680410949
fine,0.9,0.7425548732537448,1.110277547958577,0.1111841478939623
fine,0.9500000000000001,0.742547481026145,1.1102753523156546,0.11104627099655025
fine,1.0,0.7425395855586439,1.1102730072243205,0.11090105422907559
fine,1.05,0.7425311693575083,1.1102705074934858,0.11074851537250374
fine,1.1,0.7425222137330081,1.1102678475773935,0.11058867310675051
fine,1.1500000000000001,0.7425126987509831,1.1102650215612937,0.11042154700880463
fine,1.2000000000000002,0.7425026031811398,1.1102620231461537,0.11024715755077234
fine,1.25,0.7424919044419315,1.1102588456323612,0.11006552609784692
fine,1.3,0.7424805785418741,1.1102554819023753,0.10987667490620448
fine,1.35,0.7424686000171397,1.1102519244022822,0.10968062712082954
fine,1.4000000000000001,0.7424559418652518,1.1102481651222036,0.1094774067732713
fine,1.4500000000000002,0.7424425754747084,1.1102441955755036,0.10926703877933468
fine,1.5,0.7424284705503373,1.1102400067767426,0.10904954893670787
fine,1.55,0.7424135950341828,1.110235589218316,0.10882496392252967
fine,1.6,0.7423979150217078,1.1102309328457158,0.10859331129089943
