time,radius,case,a,chi
24.0,26.900000000000002,2,-1.4063306890950646e-05,-5.278664375440652e-07
24.0,27.3,2,-1.1939024760034813e-05,-4.6461368908645783e-07
24.0,27.700000000000003,2,-1.0037643178240135e-05,-4.0902816423324547e-07
24.0,28.1,2,-8.370036955579304e-06,-3.601679007115357e-07
24.0,28.5,2,-6.931298070793708e-06,-3.172084944377142e-07
24.0,28.900000000000002,2,-5.707286390867481e-06,-2.7942815639914743e-07
24.0,29.3,2,-4.677340130634201e-06,-2.461947100625138e-07
24.0,29.700000000000003,2,-3.817880692501017e-06,-2.1695427077240238e-07
24.0,30.1,2,-3.1065835094532095e-06,-1.9122138423466434e-07
24.0,30.5,2,-2.520796105278345e-06,-1.6857043172843265e-07
24.0,30.900000000000002,2,-2.041379270424543e-06,-1.4862813576591764e-07
24.0,31.3,2,-1.6498659313646765e-06,-1.3106702220500364e-07
24.0,31.700000000000003,2,-1.331521611990188e-06,-1.1559971402321867e-07
24.0,32.1,2,-1.0730737284085711e-06,-1.0197394863285314e-07
24.0,32.5,2,-8.634001660847079e-07,-8.996822508673614e-08
24.0,32.9,2,-6.940639237093075e-07,-7.938799999431852e-08
24.0,33.300000000000004,2,-5.569693123380553e-07,-7.00623616499772e-08
24.0,33.7,2,-4.462885845207021e-07,-6.184112108125434e-08
24.0,34.1,2,-3.5745664767447464e-07,-5.459226673485471e-08
24.0,34.5,2,-2.8569885379334444e-07,-4.8199736496737466e-08
24.0,34.9,2,-2.2694371771376984e-07,-4.2561466789344024e-08
24.0,35.300000000000004,2,-1.7925165888992712e-07,-3.7587683711188934e-08
24.0,35.7,2,-1.4230866994146208e-07,-3.3199405699853924e-08
24.0,36.1,2,-1.1219384307462902e-07,-2.93271311170904e-08
24.0,36.5,2,-8.59948941958815e-08,-2.590968755944141e-08
24.0,36.9,2,-6.875627716859398e-08,-2.289322265910141e-08
24.0,37.300000000000004,2,-4.927177136731108e-08,-2.023031871611282e-08
24.0,37.7,2,-4.1446530190103366e-08,-1.7879215744660297e-08
24.0,38.1,2,-2.290663742769886e-08,-1.5803129468488954e-08
24.0,38.5,2,-2.3379041247483407e-08,-1.3969652500194704e-08
24.0,38.900000000000006,2,-2.788999300369915e-08,-1.2350228420182674e-08
24.0,39.300000000000004,2,3.101706026541523e-08,-1.0919689762830565e-08
24.0,39.7,2,1.464146519899657e-07,-9.65585204343958e-09
24.0,0.1,5,-2.496741216837389e-05,-0.0008864295110179058
24.0,0.5,5,-2.4577998228577915e-06,-0.0008835908641017498
24.0,0.9,5,-1.1010366649780728e-05,-0.0008769889567345074
24.0,1.3,5,-6.282509360038239e-06,-0.0008666754926655533
24.0,1.7000000000000002,5,-1.6045153571250463e-05,-0.0008527313188249238
24.0,2.1,5,-4.26492946334079e-06,-0.0008352659121893493
24.0,2.5,5,-3.136959854549572e-05,-0.0008144167344724427
24.0,2.9000000000000004,5,-1.5862124276244316e-05,-0.0007903484983434983
24.0,3.3000000000000003,5,6.998116504301695e-05,-0.0007632523638027863
24.0,3.7,5,-0.0001961999471033452,-0.0007333452755419408
24.0,4.1000000000000005,5,-0.0014383822389622339,-0.0007008696478241914
24.0,4.5,5,-0.0038949640839168404,-0.0006660935766415329
24.0,4.9,5,-0.007086390007264438,-0.0006293117076053501
24.0,5.300000000000001,5,-0.009976163106059165,-0.0005908467896118751
24.0,5.7,5,-0.011495314092357704,-0.0005510520376384009
24.0,6.1000000000000005,5,-0.011094742068865807,-0.0005103146142471731
