sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
0,0.1,fine,4,2.9309887850104133e-13,7.638334409421077e-14,2.900014086977206e-13,6.524919493600123e-13,0.2231896899279932
0,0.1,fine,5,6.738979288535087e-12,4.001465825353989e-12,6.010963373544543e-12,1.2351564215862254e-11,0.7681326153985208
0,0.1,fine,6,6.8457972849506234e-15,3.11972669919669e-14,1.8859847619392763e-14,1.8457457784393227e-14,0.6400242914917311
0,0.1,fine,7,1.254552017826427e-13,2.0206059048177846e-14,1.0855682445308878e-13,2.984487657009538e-13,0.09686464209065229
0,0.1,fine,8,5.642490128481745e-13,4.871658632055187e-13,5.70150590952129e-13,5.88862292261183e-13,0.7108658541418938
0,0.1,fine,9,1.127542503809309e-12,6.609157665593557e-13,1.1251330026687862e-12,3.4058311726425927e-12,0.326354353337892
0,0.1,fine,10,3.129940751023241e-11,7.563394355258879e-12,2.2643958677188446e-11,7.87176506279493e-11,0.13626317531863422
0,0.1,fine,11,1.3922196728799463e-13,2.1649348980190553e-14,1.2030629197278887e-13,3.3173463975799677e-13,0.09686464209064165
1,0,base,0,1.0261791416610322e-11,4.892308780313215e-12,8.079723059193508e-12,2.5104474055126502e-11,0.521195814622783
1,0,base,1,4.042577383955859e-11,1.703781560280504e-11,3.4874724064105307e-11,1.110721428296685e-10,0.43547311731198696
1,0,base,2,4.044542478709445e-12,1.687761042035163e-12,3.891262976557162e-12,1.38329347976196e-11,0.09214085654960094
1,0,base,3,1.4057643937803732e-12,4.68292071786891e-13,1.4341534026434768e-12,3.580302720962436e-12,0.27161002459415734
1,0,base,4,2.4491741856273485e-12,1.56097357262297e-12,2.05536185487059e-12,4.171135659092329e-12,0.5271861384719324
1,0,base,5,1.0612288825484484e-11,6.081357639686717e-12,9.174964315712871e-12,1.2167544749530634e-11,0.9386448730121546
1,0,base,6,2.1840862451938392e-13,5.928590951498318e-14,2.3224041267094196e-13,4.877209747178313e-13,0.1869962558847125
1,0,base,7,5.668798763736049e-13,2.3292479056635784e-13,6.12041780023001e-13,1.443928310251863e-12,0.2716100245941446
1,0,base,8,8.195666367782906e-13,3.368416656712725e-13,8.759177747632117e-13,2.5128787939365793e-12,0.15187665085211383
1,0,base,9,1.0098588631990424e-12,5.269118474870993e-13,1.0927254502910578e-12,2.629285678068527e-12,0.3415659578178093
1,0,base,10,2.9943105851116597e-12,2.3240298574478333e-12,2.571816150022192e-12,3.0044300380893674e-12,0.7701589065795735
1,0,base,11,1.1225465001984958e-12,3.8813396940895473e-13,1.1558276412668177e-12,2.8593238887708594e-12,0.2716100245941294
1,0,fine,0,2.6884050541298166e-12,1.9506618542664e-12,2.473537038239811e-12,6.838862809388502e-12,0.5211958146226752
1,0,fine,1,8.562039965909207e-12,6.286637876939949e-12,9.61159388324049e-12,2.6440588356108037e-11,0.43547311731091676
1,0,fine,2,1.5955015086888125e-12,9.274803147718558e-13,1.7126333643543772e-12,5.655365065138085e-12,0.09214085654956133
1,0,fine,3,6.91335877434085e-13,2.2648549702353193e-13,7.023389250005831e-13,1.7608969837823452e-12,0.2716100245941652
1,0,fine,4,6.641493476432445e-13,4.2865710980777294e-13,5.599946437455026e-13,1.1298184610097906e-12,0.5271861384735576
