triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,reverse,0.04,21,0.9999999999919794,2.0816681711721685e-12,6.938893903907227e-13,1.0,0.0,0.0
orthogonal,reverse,0.039999999999999994,22,0.7069653240675265,0.020001332892705115,0.7069653240640571,0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.04000000000000001,23,0.5682539867220282,0.5682539867192526,-0.5682539867220282,0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.039999999999999994,24,0.7069653240682204,0.706965324064751,0.02000133288507233,0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.04000000000000001,25,0.5860359773790513,0.5860359773825208,0.586035977381133,0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.08000000000000002,0,-0.55873446955651,-0.5587344695620611,-0.5587344695578977,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.07999999999999999,1,-0.706540566897118,-0.7065405668998935,0.04001065718461927,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.08000000000000002,2,-0.5943236986938327,-0.594323698692445,0.594323698692445,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.07999999999999999,3,-0.706540566897118,0.04001065719294594,-0.7065405669012813,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.08,4,-1.000000000001,0.0,0.0,-1.0,0.0,0.0
orthogonal,reverse,0.07999999999999999,5,-0.7065405668985058,-0.04001065719294594,0.706540566897118,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.08000000000000002,6,-0.594323698692445,0.5943236986882816,-0.5943236986910572,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.07999999999999999,7,-0.706540566897118,0.7065405668985058,-0.04001065718461927,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.08000000000000002,8,-0.5587344695592855,0.5587344695620611,0.5587344695578977,-0.5773502691896257,0.5773502691896257,0.5773502691896257
