time,pulse,a,a_t,a_r,incoming,outgoing
14.3,0,-0.012361348331204476,0.0005485166634606826,0.0003148427486998519,-0.0001371582804784964,0.007816391568928053
14.3,1,0.020967197762957402,-0.17082784343222696,-0.1729796400988801,-2.3961687858362706,0.004578977785093308
14.32,0,-0.012349902902416004,0.0005963404592094465,0.0002657476496415698,-0.0001403346892508879,0.00848910111818314
14.32,1,0.017688868282012528,-0.15709918188077657,-0.15902401716818845,-2.2040179592017486,0.0046294128708768145
14.34,0,-0.012337482130330953,0.00064603329437275,0.00021707216440131283,-0.0001270028537470368,0.009171468974965537
14.34,1,0.014679449738279815,-0.1439375184341407,-0.14564994388053962,-2.0197725113336222,0.004647253255652517
14.36,0,-0.012324050404596885,0.0006973839143317789,0.0001687632191516752,-9.899526791426385e-05,0.009862370068559168
14.36,1,0.01192756076480073,-0.13134675044491922,-0.13286019077267988,-1.8434848081407933,0.004630301911924262
14.38,0,-0.012309578298876325,0.0007499920795436067,0.00012069473918430534,-5.9981418342777704e-05,0.010559870531953272
14.38,1,0.009421756896671268,-0.11932927864509903,-0.12065610316606035,-1.67518679422978,0.004576893198393606
14.4,0,-0.012294045856949274,0.0008033214097424971,7.268462433402899e-05,-1.4980689938954433e-05,0.011261480426333913
14.4,1,0.007150561139449331,-0.1078859475102297,-0.10903756974928668,-1.51488934024689,0.004486075103674159
14.42,0,-0.01227744463639144,0.0008567693786073677,2.45184333698512e-05,3.029236564481251e-05,0.011964478934858337
14.42,1,0.005102495470510268,-0.09701601253023819,-0.09800300920036238,-1.3625819043789487,0.0043577289556141485
14.44,0,-0.012259778258148543,0.0009097450659755698,-2.4023175656605333e-05,7.016410315848019e-05,0.012666266820499497
14.44,1,0.003266112687038941,-0.08671713877943805,-0.08754937753837091,-1.2182325578811433,0.004192614969010577
14.46,0,-0.012241061409611398,0.0009617443572644199,-7.313664085678771e-05,9.972331004772655e-05,0.013364697691654152
14.46,1,0.0016300279533968845,-0.07698543243944579,-0.07767219716841645,-1.0817883932783372,0.003992339126096089
14.48,0,-0.012221317452569292,0.0010124127503316057,-0.00012297073756209711,0.00011543536310191452,0.014058343141540565
14.48,1,0.00018294939648871384,-0.0678155040296854,-0.06836560676940392,-0.953176300895381,0.003759244479785262
14.5,0,-0.012200574968418655,0.0010615877078923527,-0.00017360787290823118,0.00011557136067952365,0.014746656549813414
14.5,1,-0.0010862928491168135,-0.05920055932077394,-0.059622429446541524,-0.8323040677957667,0.003496237304931482
14.52,0,-0.012178863707390575,0.0011093153215933327,-0.00022505367272549322,0.00010039968837958872,0.015430014813927069
14.52,1,-0.002188719639305359,-0.05113251151571394,-0.051434255096078525,-0.7190617261021999,0.0032065648822047765
14.540000000000001,0,-0.01215621047910852,0.0011558395357391007,-0.00027723606097851086,7.211908376986826e-05,0.01610963441657754
14.540000000000001,1,-0.003135178207588333,-0.04360210651513187,-0.04379153185117278,-0.6133230576679267,0.0028935664560805208
14.56,0,-0.012132635520125385,0.0012015658356240833,-0.00033001385452390046,3.454610763858716e-05,0.01678737559109858
14.56,1,-0.003936320112307432,-0.03659905210887231,-0.036683660899029594,-0.5149471511114669,0.0025604215872547242
14.58,0,-0.012108149801694066,0.0012470046427895275,-0.0003831937261470307,-7.398484349555728e-06,0.01746546348340294
14.58,1,-0.004602581729363807,-0.030112141853339065,-0.030099088936134773,-0.4237799063909987,0.0022099204442518616
14.6,0,-0.012082753608854637,0.0012927022348199254,-0.0004365533711088184,-4.8334758449569346e-05,0.018146166045928527
14.6,1,-0.005144167097880846,-0.02412936521164588,-0.024025393061954833,-0.3396553914641454,0.0018442785011030804
14.620000000000001,0,-0.012056436548748118,0.001339168489787793,-0.0004898679710696574,-8.311464334711041e-05,0.01883147350037621
14.620000000000001,1,-0.005571032772902174,-0.018637997173362553,-0.018449353948896807,-0.2623969742422666,0.0014650138151908743
14.64,0,-0.012029178955786752,0.001386810969205945,-0.0005429366731768934,-0.00010746940569001523,0.019522822974573244
14.64,1,-0.005892874225663672,-0.013624662872958307,-0.01335701456519572,-0.19181817917991,0.0010728989584937315
14.66,0,-0.012000954479594709,0.0014358837980061397,-0.0005956058341475633,-0.00011853149278731948,0.02022090466487328
14.66,1,-0.006119113269251889,-0.009075375465759693,-0.008733723425786145,-0.1277232488754468,0.0006679923548111102
14.68,0,-0.011971733492415143,0.0014864576470260383,-0.0006477862112550112,-0.00011516669581038315,0.02092557375417492
14.68,1,-0.006258885981679267,-0.004975548428209095,-0.004564163136462611,-0.06990742394354157,0.00024974594861425226
14.700000000000001,0,-0.011941486854959538,0.00153841418842973,-0.0006994620567363246,-9.807850562593146e-05,0.02163587714364215
14.700000000000001,1,-0.006321030650071437,-0.0013099862385923988,-0.0008323667017823354,-0.01815698590765886,-0.00018282143263472633
14.72,0,-0.011910189545074768,0.001591465090685385,-0.0007506910900263619,-6.96767679242219e-05,0.022350188037519612
14.72,1,-0.006314075363597356,0.0019371402111333885,0.002478274481653353,0.027750865167708513,-0.0006309022118410751
14.74,0,-0.01187782368498827,0.0016451923990957683,-0.000801595455153554,-3.37332348986346e-05,0.02306642682223939
14.74,1,-0.006246225028612328,0.004782325360705196,0.005385005971785115,0.06804820681312601,-0.0010956517632532692
14.76,0,-0.011844380594230089,0.001699104438288921,-0.0008523448775913583,5.126627767896089e-06,0.023782335508277
14.76,1,-0.006125347752672169,0.007242758821508727,0.00790570344277746,0.10297656197366722,-0.0015779384725450527
14.780000000000001,0,-0.011809861632762436,0.001752699520725354,-0.0009031341796701711,4.202657100506324e-05,0.024495766719149895
14.780000000000001,1,-0.005958960727295612,0.00933634420507658,0.010058858145580456,0.13278693609095146,-0.0020781172198793274
14.8,0,-0.011774277762794128,0.0018055289700283945,-0.0009541579817688304,7.245803641988367e-05,0.02520494754397764
14.8,1,-0.005754215914223727,0.011081698705763034,0.011863549718578078,0.15773963101327593,-0.0025958491325934474
14.82,0,-0.011737647925739897,0.001857251337442658,-0.0010055857289022372,9.283529691299797e-05,0.025908683427284217
14.82,1,-0.005517885988832947,0.012498126906873892,0.0133394024707637,0.17810376264904665,-0.003129985952812178
14.84,0,-0.011699996480546317,0.0019076711153033963,-0.0010575401048293828,0.0001009188330449353,0.026606476781202613
14.84,1,-0.005256351102198768,0.013605564648965788,0.014506522729860588,0.19415643610068525,-0.003678531015164216
14.86,0,-0.011661350062096938,0.0019567575056161934,-0.0011100814427450806,9.605740904932228e-05,0.027298547669577386
14.86,1,-0.004975587079002089,0.014424491601218918,0.015385416571788496,0.20618156367155085,-0.00423868125448601
14.88,0,-0.011621734280227666,0.0020046415544851346,-0.0011631999734044046,7.922392745127703e-05,0.02798575783534061
14.88,1,-0.0046811556660835835,0.014975814134773242,0.015996889055795716,0.2144683445009409,-0.004806946614115515
14.9,0,-0.011581170684859194,0.0020515928299719246,-0.0012168167666089292,5.2847101111370975e-05,0.028669452518495574
14.9,1,-0.0043781973857987275,0.015280722917316514,0.016361927802950604,0.21930945634897048,-0.005379335506539254
14.92,0,-0.011539674372487317,0.0020979794180923735,-0.0012707931441943293,2.046673104265026e-05,0.02935124512225058
14.92,1,-0.00407142743500971,0.01536053205052873,0.016501575205459303,0.22099903707441138,-0.005951588367009153
14.94,0,-0.011497252512600054,0.0021442170074572465,-0.0013249473056303636,-1.373834351184669e-05,0.030032776447913297
14.94,1,-0.0037651349154156854,0.015236508316831075,0.01643679459775905,0.21983055294442305,-0.006519436508787987
14.96,0,-0.011453903944089861,0.0021907139908992766,-0.0013790760379237296,-4.5486301216101505e-05,0.030715482173805975
14.96,1,-0.0034631854989846497,0.01492970001522437,0.016188336255573043,0.21609466114608955,-0.0070788609329483915
