sample,condition_coframe,z,hessian_error,equation_error,lapse,shift_x
156,1.500542629529544,1.0219800539137973,1.0424364242499055e-16,4.24768091704538e-17,1.186441627485421,0.07153058098609166
157,1.4212547459615075,1.1389440925547254,3.05332180493148e-16,3.665803417963613e-16,0.9461851353129953,0.1208119576761122
158,1.3070119855985904,1.0437133789876174,3.239987646447244e-16,0.0,0.9823666466528524,0.11691376919652308
159,1.3053251472162917,1.0488452568925042,3.5708786946220265e-16,8.494956144059457e-17,0.9388613074600543,-0.09567509821146476
160,1.444799917006422,1.0426876844962363,3.0895819822780625e-16,8.907096120916323e-17,0.8881343153962573,-0.02370076388592418
161,1.4302905213528656,1.0332482183016685,3.1450055712788665e-16,4.757124834498441e-17,0.8554171076145274,-0.0025807687650501476
162,1.472617544083339,1.060264327752162,3.100344943502411e-16,5.229337104864376e-17,1.1275483331497096,-0.03379385214774597
163,1.5023834776249967,1.07281065358661,2.361061143853795e-16,0.0,1.1590577093757986,-0.1899872281440379
164,1.5231774594135565,1.0344073195589905,3.245768949769032e-16,1.5628246899238924e-16,1.1876375428847887,-0.0425835952596687
165,1.5955152485442687,1.0541656400978978,2.7000967743771863e-16,8.20696955762833e-17,0.8005878276879005,-0.06659473435079302
166,1.3262752337588317,1.034941473728792,2.5361825620060743e-16,5.128939502879445e-17,0.8992210092621987,-0.1311142683361361
167,1.630241314217096,1.0551101326065562,4.1523492880362513e-16,2.7755575615628914e-17,0.8109892471960496,-0.19961692595598668
168,1.5637176949337601,1.081280457512654,2.0199845216509777e-16,4.88338989077841e-17,0.8097994089969185,-0.004644978642736277
169,1.3391370209969387,1.0301696483150042,3.4368488435124006e-16,1.1102230246251565e-16,1.1360309313466934,-0.016190144480701694
170,1.2665104955246902,1.0842529607801659,3.148437653557213e-16,1.1472333374726574e-16,1.0467210257107693,-0.17934109515256028
171,1.3752174306756593,1.1262866990410534,3.3062087998115547e-16,6.715355382079725e-17,1.0057891328825228,0.12382226307153987
172,1.688794810120022,1.0194357711563995,3.1695481146902913e-16,5.551115123125783e-17,0.8529891326364629,-0.18011198618764654
173,1.4692276331486098,1.095427668416594,3.7667527026822533e-16,5.551115123125783e-17,1.0604405089176876,-0.04233490754361742
174,1.3595259851204988,1.0995405819905575,3.503955075820833e-16,1.4985587753550304e-16,1.099127853615546,0.032165351623342144
175,1.3808373262968978,1.0446489453709882,2.99096551351743e-16,2.220446049250313e-16,1.1028023227571917,-0.19291803441979408
176,1.2821919584666919,1.057759003068005,2.950472163406158e-16,1.0616961598715337e-16,0.983349331165765,-0.07857652587874317
177,1.5568344711130497,1.0442109820872558,2.8304343965984346e-16,1.1459970496756498e-16,0.81580350016545,-0.04966449700577469
